Vernier Format 2
Argon.cmbl 12/9/2023 23:29:44 .
Latest
Wavelength	Intensity
λ	I
nm	rel

380	0.000754578754579
382	0.000559884559885
384	0.000832870832871
386	0.000901320901321
388	0.000878676878677
390	0.000801050801051
392	0.000755244755245
394	0.00154534354534
396	0.0010705960706
398	0.000880674880675
400	0.000834054834055
402	0.000888555888556
404	0.00220468420468
406	0.000886668886669
408	0.000818070818071
410	0.00136108336108
412	0.00104362304362
414	0.00263236763237
416	0.00812898212898
418	0.00471994671995
420	0.0114615014615
422	0.00127672327672
424	0.00217375217375
426	0.00837806637807
428	0.00236585636586
430	0.00312206312206
432	0.00306915306915
434	0.00745987345987
436	0.00116439116439
438	0.00105183705184
440	0.00104617604618
442	0.00101431901432
444	0.000894660894661
446	0.000923890923891
448	0.000924852924853
450	0.00278314278314
452	0.0017113997114
454	0.00117016317016
456	0.000963850963851
458	0.00114396714397
460	0.00135124135124
462	0.00111577311577
464	0.00105968105968
466	0.0010715950716
468	0.0010303030303
470	0.00167314167314
472	0.000924852924853
474	0.00105302105302
476	0.00102741702742
478	0.00101676101676
480	0.00120346320346
482	0.00131905131905
484	0.00297125097125
486	0.0698676878677
488	0.00262552262552
490	0.00129625929626
492	0.00116457616458
494	0.00115462315462
496	0.00123413623414
498	0.000955266955267
500	0.00112887112887
502	0.000930180930181
504	0.00126614126614
506	0.00115018315018
508	0.00115218115218
510	0.000953046953047
512	0.000855070855071
514	0.00119769119769
516	0.00194176194176
518	0.00205816405816
520	0.00115976615977
522	0.00125504125504
524	0.00126850926851
526	0.00103396603397
528	0.000667998667999
530	0.000819735819736
532	0.000718392718393
534	0.000929070929071
536	0.000892218892219
538	0.000831390831391
540	0.000954378954379
542	0.00126318126318
544	0.00185573685574
546	0.00117549117549
548	0.00143745143745
550	0.00218936618937
552	0.000997890997891
554	0.00141247641248
556	0.00297635697636
558	0.0011556961557
560	0.0029617049617
562	0.00105894105894
564	0.0017464017464
566	0.00102630702631
568	0.00109760609761
570	0.000963036963037
572	0.000760905760906
574	0.00111666111666
576	0.000886446886447
578	0.000773855773856
580	0.000918525918526
582	0.000790986790987
584	0.000882635882636
586	0.000957930957931
588	0.00249772449772
590	0.00230954230954
592	0.00192548192548
594	0.00119036519037
596	0.000880970880971
598	0.00121267621268
600	0.00139216339216
602	0.00484774484774
604	0.00501054501055
606	0.00233655233655
608	0.000894475894476
610	0.00169626669627
612	0.000969252969253
614	0.00123450623451
616	0.00217911717912
618	0.000948310948311
620	0.000948606948607
622	0.000959595959596
624	0.000711695711696
626	0.000597180597181
628	0.000729270729271
630	0.00144522144522
632	0.000800680800681
634	0.000551448551449
636	0.0010298960299
638	0.00179061679062
640	0.00292651792652
642	0.00320346320346
644	0.00107647907648
646	0.000873755873756
648	0.000866910866911
650	0.00104173604174
652	0.00173581973582
654	0.00594664594665
656	0.183850593851
658	0.0111928811929
660	0.00168128168128
662	0.000804528804529
664	0.000779220779221
666	0.00459133459133
668	0.00726532726533
670	0.00120490620491
672	0.000993080993081
674	0.00610633810634
676	0.00488437488437
678	0.000782920782921
680	0.000656750656751
682	0.000976615976616
684	0.00109686609687
686	0.00651237651238
688	0.00332963332963
690	0.00121811521812
692	0.00310985310985
694	0.00612165612166
696	0.347122877123
698	0.0364635364635
700	0.00188348688349
702	0.00711066711067
704	0.00466459466459
706	0.296756576757
708	0.0329755429755
710	0.00308380508381
712	0.00198653198653
714	0.0358733858734
716	0.00739094239094
718	0.00112406112406
720	0.00240574240574
722	0.00160395160395
724	0.00145743145743
726	0.0605945905946
728	0.029166019166
730	0.00343545343545
732	0.00222666222666
734	0.00499019499019
736	0.0246645946646
738	0.419145669146
740	0.0342372442372
742	0.00477448477448
744	0.00336626336626
746	0.00595478595479
748	0.0316894216894
750	0.916683316683
752	0.30326044326
754	0.0101224701225
756	0.00342324342324
758	0.00315462315462
760	0.00706182706183
762	0.410557960558
764	0.571628371628
766	0.0182863168577
768	0.00448144448144
770	0.0376804676805
772	0.409271839272
774	0.0324464424464
776	0.0248518148518
778	0.012829022829
780	0.00197025197025
782	0.00146908646909
784	0.00144522144522
786	0.00221445221445
788	0.00248714248714
790	0.00271099271099
792	0.00383024383024
794	0.268315388315
796	0.0545628445628
798	0.006780996781
800	0.444513423085
802	0.170639360639
804	0.0090194990195
806	0.00472564472564
808	0.0172327672328
810	0.72302031302
812	0.451221371221
814	0.0158082658083
816	0.00289821289821
818	0.0021127021127
820	0.00167023452738
822	0.00212491212491
824	0.00713915713916
826	0.209544529545
828	0.0232470703899
830	0.00205572205572
832	0.0017464017464
834	0.00216098716099
836	0.0024481867339
838	0.00530358530359
840	0.307106597107
842	0.433880246737
844	0.0749291449291
846	0.0073507973508
848	0.00208828208828
850	0.0320417677561
852	0.138718318718
854	0.0132848632849
856	0.00120974263831
858	0.000898730898731
860	0.00131439988583
862	0.000894290894291
864	0.000957005957006
866	0.0269205397777
868	0.00566581566582
870	0.000714655714656
872	0.000572284857999
874	0.000595885595886
876	0.000726099297528
878	0.000686535686536
880	0.000591445591446
882	0.000434486148772
884	0.000497465497465
886	0.00049284049284
888	0.000597550597551
890	0.000481106195392
892	0.000447515447515
894	0.000585287728145
896	0.000712435712436
898	0.000579262007833
900	0.000621045621046
902	0.000552965552966
904	0.000924789496218
906	0.00140161425876
908	0.00175435675436
910	0.0551954394812
912	0.271807451807
914	0.0350070564356
916	0.00266659266659
918	0.00238539238539
920	0.00381396381396
922	0.0721080506795
924	0.0122795722796
926	0.00234352948639
928	0.00142539999683
930	0.000770895770896
932	0.000672343529486
934	0.00481647981648
936	0.0033028875886
938	0.000936840936841
940	0.000508565508566
942	0.000544851973423
944	0.000461601890173
946	0.000362785362785
948	0.000592264877979
950	0.000405943263086
