Vernier Format 2
Xenon Spectrum.cmbl 12/10/2023 18:33:59 .
Latest
Wavelength	Intensity
λ	I
nm	rel

380	0.000781884781885
382	0.000683094683095
384	0.000677285677286
386	0.000931734931735
388	0.000829614829615
390	0.000760350760351
392	0.000816738816739
394	0.000950382950383
396	0.000954600954601
398	0.000628926628927
400	0.000733932733933
402	0.000798090798091
404	0.000659562659563
406	0.000687756687757
408	0.000839900839901
410	0.000757908757909
412	0.000848040848041
414	0.000872275872276
416	0.000765012765013
418	0.000805860805861
420	0.000945165945166
422	0.000803196803197
424	0.000728900728901
426	0.000701964701965
428	0.000787212787213
430	0.000837125837126
432	0.000813408813409
434	0.000943056943057
436	0.000809745809746
438	0.00114219114219
440	0.000939800939801
442	0.000782328782329
444	0.000841380841381
446	0.000915935915936
448	0.000810522810523
450	0.00291782291782
452	0.00201021201021
454	0.000846930846931
456	0.000925740925741
458	0.00154201354201
460	0.00112350612351
462	0.0104693084693
464	0.00114108114108
466	0.017682983683
468	0.00678188478188
470	0.00335738335738
472	0.00343545343545
474	0.00399415399415
476	0.000913530913531
478	0.00120324120324
480	0.00930691530692
482	0.0061371961372
484	0.00615673215673
486	0.000862470862471
488	0.000823805823806
490	0.00201576201576
492	0.0114811114811
494	0.00102342102342
496	0.000826950826951
498	0.000747918747919
500	0.000779035779036
502	0.00193428793429
504	0.000797720797721
506	0.000565212565213
508	0.000684315684316
510	0.000759240759241
512	0.000641765641766
514	0.000569874569875
516	0.000748510748511
518	0.000650460650461
520	0.000697450697451
522	0.000653235653236
524	0.000740148740149
526	0.000658600658601
528	0.000648462648463
530	0.000616420616421
532	0.000518148518149
534	0.000602175602176
536	0.000739260739261
538	0.000700965700966
540	0.000871572871573
542	0.000572945572946
544	0.000708550708551
546	0.000640692640693
548	0.000540015540016
550	0.000590076590077
552	0.000605875605876
554	0.000745735745736
556	0.000711732711733
558	0.000574055574056
560	0.000597180597181
562	0.000737040737041
564	0.000652125652126
566	0.000568764568765
568	0.000780330780331
570	0.000885780885781
572	0.000797165797166
574	0.000558330558331
576	0.000643578643579
578	0.000571465571466
580	0.000559255559256
582	0.00175135975136
584	0.000692825692826
586	0.000853220853221
588	0.0011381951382
590	0.00105024605025
592	0.00120527620528
594	0.000701298701299
596	0.000519110519111
598	0.000632330632331
600	0.000771894771895
602	0.000563510563511
604	0.000476005476005
606	0.00114396714397
608	0.000555370555371
610	0.000757945757946
612	0.000622710622711
614	0.00039997039997
616	0.0012740962741
618	0.00248233248233
620	0.000970140970141
622	0.000620120620121
624	0.000487845487845
626	0.000940614940615
628	0.000876715876716
630	0.00103137603138
632	0.0018068968069
634	0.000597402597403
636	0.00049876049876
638	0.000262145262145
640	0.000553890553891
642	0.00037888037888
644	0.000561216561217
646	0.00192936692937
648	0.00154216154216
650	0.00116365116365
652	0.000761238761239
654	0.000653790653791
656	0.000572575572576
658	0.000787360787361
660	0.000786805786806
662	0.000669552669553
664	0.000608650608651
666	0.00228401228401
668	0.000839345839346
670	0.000500610500611
672	0.00253172753173
674	0.000885780885781
676	0.000536685536686
678	0.000749620749621
680	0.000501535501536
682	0.002331002331
684	0.00151367151367
686	0.00248233248233
688	0.00407647907648
690	0.000628704628705
692	0.000976245976246
694	0.000615125615126
696	0.00102046102046
698	0.00107466607467
700	0.000487475487475
702	0.000702075702076
704	0.00046546046546
706	0.000387575387575
708	0.000505975505976
710	0.00157753357753
712	0.00568542568543
714	0.000631405631406
716	0.000566655566656
718	0.00048655048655
720	0.00042661042661
722	0.000544640544641
724	0.000591075591076
726	0.00120102120102
728	0.00246198246198
730	0.00123543123543
732	0.00239704739705
734	0.00112258112258
736	0.000526325526326
738	0.00282828282828
740	0.00161135161135
742	0.000643060643061
744	0.000586450586451
746	0.000864135864136
748	0.000816035816036
750	0.000678210678211
752	0.000459355459355
754	0.000504495504496
756	0.000702075702076
758	0.00307655307655
760	0.000841380841381
762	0.000927035927036
764	0.0100444000444
766	0.00130789845076
768	0.00034336034336
770	0.000349465349465
772	0.000530950530951
774	0.000577385577386
776	0.000358345358345
778	0.000530395530396
780	0.000926480926481
782	0.000471195471195
784	0.000503940503941
786	0.000987742416314
788	0.00322307322307
790	0.000788100788101
792	0.00041773041773
794	0.000484885484885
796	0.00323861323861
798	0.00111000111
800	0.000496487639345
802	0.000742590742591
804	0.00130591630592
806	0.00214470714471
808	0.000783475783476
810	0.000829012257584
812	0.000757390757391
814	0.000727975727976
816	0.00123672623673
818	0.00124116624117
820	0.00725354011068
822	0.31538017538
824	0.0846272246272
826	0.0336097236097
828	0.103007944437
830	0.00543234543235
832	0.00113331113331
834	0.0145376845377
836	0.00280909566624
838	0.000861915861916
840	0.0269064269064
842	0.00572554429697
844	0.000589040589041
846	0.000550560550561
848	0.000569060569061
850	0.00049506049506
852	0.000597550597551
854	0.000513930513931
856	0.000794602223174
858	0.000742775742776
860	0.000556903414046
862	0.000744995744996
864	0.00124930624931
866	0.000747030747031
868	0.000913530913531
870	0.000917045917046
872	0.00135562849849
874	0.00263699263699
876	0.00141065283922
878	0.00183631183631
880	0.0759784659785
882	0.219156557728
884	0.0150586450586
886	0.00437895437895
888	0.00128630628631
890	0.00234860377718
892	0.00374403374403
894	0.061807874665
896	0.0171465571466
898	0.00403009688724
900	0.00122063122063
902	0.00246013246013
904	0.0919526505241
906	0.0115200672344
908	0.00151015651016
910	0.000993609565038
912	0.00103119103119
914	0.0192333063762
916	0.090833980834
918	0.0109967809968
920	0.00190439190439
922	0.000776366490652
924	0.00049654049654
926	0.000590679162108
928	0.000586239157668
930	0.00111906611907
932	0.000593216307502
934	0.000498575498575
936	0.00179867751296
938	0.00132232846519
940	0.000974765974766
942	0.000445744731459
944	0.00135435992579
946	0.000526880526881
948	0.000523920523921
950	0.00313591170734
